,2
4989,"here is a provactive comment. there are essentially two car in this segment to buy from. all others are a waste unless you get an incredible deal. agree or disagree?

1. bmw 3 series.

price the 325xi to a comparable mercecedes c240 or audi audi 2.0 and you find best value for what it offers (especially with new maintenance progdodge that effectively brings the price down a bit more and if you opt for leatherette in price comparison). i like audi, but not discounted sufficiently for its poorer record in quality and lower resale value. comparably equipped car is only slightly cheaper and not worth the savings. audi and mercedes benz benz don't have a single attribute over the 3 series in this category (though i prefer e o4 audi to 5 series and s or audi to 7-series).

2. acura tl.

it is a blah car, but great quality, power and interior. no option pricing, reliable, reasonably stylish. pontiac5 was ""the"" other car in this segment, but i can't see what the pontiac5 has over the new tl and again, the tl is close in price so why go inifiniti (if you love infiniti beg, borrow and steal to get into the bmw5).

volvo volvo - not comparable, underpowered, weaker quality, image, etc.
saab 93 - nice, but a level under and comparable to a acura.
lexus i350 - not fun, cheap looking interior (to me), nothing compelling
infiniti pontiac5 - buy the tl for same power and nicer quality (pontiac5 coupe would be an exception for this rule if you are coupe person)
audi audi- again, buy the 3 series for slightly more and make it back in service coverage, resale value and quality (also, interior is great quality, but seems dated). bmw now has a reasonably proficient 4wheel drive system so quatro less key.
mercedes benz benz c- too expensive, too many cut corners. buy the e used or go for the bmw.
cadillac - not a bad car, but not compelling. not cheap enough
lincolen lincoln - same price as any of the above and weaker than all of them."
4990,"""i can't see what the pontiac5 has over the new tl...""

ummm, how about rwd vs. fwd. that's a big one in my book, big enough that if i had to choose between these two, i'd pick the infiniti.

best regards,
shipo"
4991,"good point, but then you could nearly get a nearly comparable 325 (just go leatherette) and you sacrifice some power but gain in handling and weight dtoyotaribution.....

i live in a snow belt and drive a 328 in snow with traction control, but i have not been as impressed with the pontiac5 in bad weather and at the limits. so i'd go tl though before the new one was out i might have gone pontiac5x and had the best of both worlds (love that car, just don't like the interior quality)."
4992,"my point was only comparing the pontiac5 and the tl, if you want to throw bmw into the mix, then i'd certainly choose that instead of either of the other two. btw, with the bmw i would much rather get a rwd sp version and winter tires as opposed to the ""xi"" (which is how i set my 530i up for the snow we get around here). year round performance, what's not to like? :shades:

best regards,
shipo"
4993,"hi from dallas. i've been driving a buick grand sport (fwd) for 13 years and am finally ready for a new car! everything i like is rwd. being in dallas i obviously don't need to concern myself with snow issues, but i do want to feel toyotaable in wet conditions & the occasional icy drive home from work. i like the is, pontiac5 & 330i. i'm a 50-ish female with a light foot, pretty much just drive back & forth to work (7 miles each way) & not much highway driving. do you think i'll be ok with a rwd? thanks."
4994,"good point, but then you could nearly get a nearly comparable 325 (just go leatherette) and you sacrifice some power but gain in handling and weight dtoyotaribution.....

why would anyone give up almost 2 seconds 0-60 mph, class leading interior space, tractor like traction with the awd, rwd biased handling in normal traction situations and, luxury touches like keyless igntion, and reclining rear seating? that's why i drive the pontiac5x"
4995,because the new 3 series is the class leader?
4996,"yes, you'll be fine with rwd, even north of dallas. just remember that when the weather is bad (rain, snow, ice, etc) just drive like there is an egg under your brake and accelerator pedals. easy does it - and - keep moving! sometimes you can't avoid it, but try to gauge traffic, and if the roads are slick, try to drive so that you don't actually come to a full stop. i live in the north, have never put snowtires/chains on my car and have never been stuck. if it is really horrible, don't go out, otherwise drive carefully and remember that just because you can go doesn't automatically mean you can stop (for all you four wheel drivers). in your part of the country, i would say buy anthing you want, just don't try to drive like crazy if/when the weather gets bad."
4997,"pearl, thanks for the tips! i usually don't go out when the weather is terrible; usually it's a nissanon of getting home when they let us leave work early because of ice. that happens maybe 1 day a year here. my speed-demon days are over (wish i still had my '71 ford!). so i think i will get what i want & not make fwd a criteria."
4998,"i agree that the rwd decision is a non-issue in dallas. i mean, if you can't drive an rwd car safely year-round in dallas, where could you drive one? after all, i'm up here in detroit and am doing just fine with a 325i on all-season tires. go for the bimmer!"
4999,">but i have to disagree with remark regarding inline six limitations.

sorry, i wasn't clear enough. i heard that bmw would need to fully redesign a block to make it 3.5 l instead of 3.0. the current 3.0 comes from successive evolutions from the original 2.5 to 2.8 then 3.0.
should a 3.5 be redeveloped, the overall block length increase would compromise crash test ratings, so it seems 3.0 is a limitation difficult to overcome in this context.
if bmw want to switch to v6, increasing displacement will be easier, and this is what mb did.

but straight 6 have some advantages that v6 don't have (balance), so i prefer straight 6 myself.

because of this, bmw may directly switch to v8 for their top end."
